,number,position,term,ward,district,candidates,candidate_count,party
0,1,tax collector,,,ALEPPO,"['Casey Cunningham', 'Clayton R. Steup']",2,"['Democratic', 'Republican']"
1,3,commissioner,4,,ALEPPO,"['Judith M. Haluka', 'Daniel M. Darragh', 'George Jones']",3,"['Democratic', 'Republican', 'Republican']"
2,1,commissioner,2,,ALEPPO,"['Judith M. Haluka', 'Daniel M. Darragh', 'George Jones']",3,"['Democratic', 'Republican', 'Republican']"
3,2,constable,,,ALEPPO,['none'],0,['N/A']
4,1,mayor,,,ASPINWALL,"['David C. Brown', 'Joseph Noro']",2,"['Democratic', 'Republican']"
5,1,tax collector,,,ASPINWALL,['Dawn E. Eastley'],1,['Democratic']
6,4,member of council,,,ASPINWALL,"['Marcia L. Cooper', 'Lara Voytko', 'Jeff Harris', 'Mary Hancock', 'Sharon Donnick', 'James A. Bonant']",6,"['Democratic', 'Democratic', 'Democratic', 'Democratic', 'Republican', 'Republican']"
7,1,constable,,,ASPINWALL,['none'],0,['N/A']
8,1,mayor,,,AVALON,"['Thomas R Lloyd, Jr.']",1,['Democratic']
9,1,tax collector,,,AVALON,['none'],0,['N/A']
14,1,mayor,,,BALDWIN BOROUGH,['David M. Depretis'],1,['Democratic']
15,1,tax collector,,,BALDWIN BOROUGH,['Gail Dobson Mikush'],1,['Democratic']
16,4,member of council,,,BALDWIN BOROUGH,"['E. John Egger', 'Erin Brown', 'Raymond G. Dee', 'Marianne Conley', 'Michael Stelmasczyk', 'Rebecca A. Conley']",6,"['Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic', 'Republican']"
17,1,constable,,,BALDWIN BOROUGH,['James D. Hagan'],1,['Democratic']
18,1,tax collector,,,BALDWIN TOWNSHIP,['none'],0,['N/A']
19,2,commissioner,,,BALDWIN TOWNSHIP,"['Eileen Frisoli', 'Robert F. Downey Jr.']",2,"['Democratic', 'Democratic']"
20,2,constable,,,BALDWIN TOWNSHIP,['none'],0,['N/A']
