,number,position,term,ward,district,candidates,candidate_count
0,1,tax collector,,,ALEPPO,"['Casey Cunningham', 'Clayton R. Steup']",2
1,3,commissioner,4,,ALEPPO,"['Judith M. Haluka', 'Daniel M. Darragh', 'George Jones']",3
2,1,commissioner,2,,ALEPPO,"['Judith M. Haluka', 'Daniel M. Darragh', 'George Jones']",3
3,2,constable,,,ALEPPO,['none'],0
4,1,mayor,,,ASPINWALL,"['David C. Brown', 'Joseph Noro']",2
5,1,tax collector,,,ASPINWALL,['Dawn E. Eastley'],1
6,4,member of council,,,ASPINWALL,"['Marcia L. Cooper', 'Lara Voytko', 'Jeff Harris', 'Mary Hancock', 'Sharon Donnick', 'James A. Bonant']",6
7,1,constable,,,ASPINWALL,['none'],0
8,1,mayor,,,AVALON,"['Thomas R Lloyd, Jr.']",1
9,1,tax collector,,,AVALON,['none'],0
14,1,mayor,,,BALDWIN BOROUGH,['David M. Depretis'],1
15,1,tax collector,,,BALDWIN BOROUGH,['Gail Dobson Mikush'],1
16,4,member of council,,,BALDWIN BOROUGH,"['E. John Egger', 'Erin Brown', 'Raymond G. Dee', 'Marianne Conley', 'Michael Stelmasczyk', 'Rebecca A. Conley']",6
17,1,constable,,,BALDWIN BOROUGH,['James D. Hagan'],1
18,1,tax collector,,,BALDWIN TOWNSHIP,['none'],0
19,2,commissioner,,,BALDWIN TOWNSHIP,"['Eileen Frisoli', 'Robert F. Downey Jr.']",2
20,2,constable,,,BALDWIN TOWNSHIP,['none'],0
21,1,mayor,,,BELL ACRES,['Kenneth L. Alvania'],1
22,1,tax collector,,,BELL ACRES,['Gregory Cooper'],1
23,4,member of council,,,BELL ACRES,"['Janelle H. Aslam', 'Julie Klug DiCenzo', 'Finn Johnson', 'David Renfrew', 'Michelle Veeck', 'Charles Kulbacki', 'Brock A. Meanor']",7
24,1,constable,,,BELL ACRES,['Robert A. Marek'],1
25,1,mayor,,,BELLEVUE,"['Val Pennington', 'Mark C. Helbling', 'Joseph Alexander Scioscia Jr.']",3
26,1,tax collector,,,BELLEVUE,['Joseph Nolan'],1
27,1,auditor,6,,BELLEVUE,"['Linda A. Woshner', 'Linda A. Woshner']",2
28,1,auditor,2,,BELLEVUE,"['Linda A. Woshner', 'Linda A. Woshner']",2
32,1,mayor,,,BEN AVON,['Melanie Hughes-Holcomb'],1
33,1,tax collector,,,BEN AVON,['none'],0
34,4,member of council,,,BEN AVON,"['Tavia Washington', 'Jim Thornton', 'Jennifer A. Bett', 'Russell Kuehner']",4
35,1,constable,,,BEN AVON,['Richard L. White'],1
36,1,mayor,,,BEN AVON HEIGHTS,['Scott Dismukes'],1
37,1,tax collector,,,BEN AVON HEIGHTS,['none'],0
38,3,member of council,,,BEN AVON HEIGHTS,['Joseph M. Dawley'],1
39,1,constable,,,BEN AVON HEIGHTS,['none'],0
40,1,mayor,,,BETHEL PARK,['Jack Allen'],1
43,1,mayor,,,BLAWNOX,['Anthony W. Gross'],1
44,1,tax collector,,,BLAWNOX,['none'],0
45,4,member of council,,,BLAWNOX,"['Randall R. Stoddard', 'Meghan Kennedy', 'Jessica A. Dayhoff', 'Deborah E. Laskey']",4
46,1,constable,,,BLAWNOX,['none'],0
47,1,mayor,,,BRACKENRIDGE,['Thomas L. Kish'],1
48,1,tax collector,,,BRACKENRIDGE,['Melinda Cattley'],1
51,1,mayor,,,BRADDOCK,['Delia  Lennon Winstead'],1
55,1,mayor,,,BRADDOCK HILLS,"['John E. Brown, Jr.']",1
56,1,tax collector,,,BRADDOCK HILLS,['Betty Ann Horvath'],1
57,4,member of council,,,BRADDOCK HILLS,"['Anette Nance', 'Marguerite L. Bolton', 'Cassandra Schaffer']",3
58,1,constable,,,BRADDOCK HILLS,['none'],0
59,1,mayor,,,BRADDOCK WOODS,['none'],0
60,4,member of council,,,BRADDOCK WOODS,['none'],0
61,1,constable,,,BRADDOCK WOODS,['none'],0
62,1,mayor,,,BRENTWOOD,"['Pat Carnevale', 'Dennis H. Troy']",2
63,1,tax collector,,,BRENTWOOD,['Fay K. Boland'],1
64,4,member of council,,,BRENTWOOD,"['Melissa Lenigan', 'Robert Pasquantonio', 'Stephen J. Thomas', 'Karen L. McWilliams', 'Nicole M. Novak', 'Eugene J. Werner, Jr.', 'Chris Fargotstein', 'A.J. Doyle']",8
65,1,constable,,,BRENTWOOD,['Donald Makowski'],1
66,1,mayor,,,BRIDGEVILLE,['Betty L. Copeland'],1
67,1,tax collector,,,BRIDGEVILLE,['Anne Marie Parisi'],1
68,4,member of council,,,BRIDGEVILLE,"['Michael A. Chiodo', 'William J. Henderson', 'Michael Neely', 'Justine Cimarolli', 'Virginia Bott Schneider', 'Robert B. Fryer', 'Joseph P. Verduci', 'Bruce Ghelarducci']",8
69,1,constable,,,BRIDGEVILLE,['Walter L. Johns'],1
70,1,mayor,,,CARNEGIE,['Stacie L. Riley'],1
71,1,tax collector,,,CARNEGIE,['none'],0
75,1,mayor,,,CASTLE SHANNON,['Donald J. Baumgarten'],1
76,1,tax collector,,,CASTLE SHANNON,"[""Eileen L. O'malley""]",1
77,4,member of council,,,CASTLE SHANNON,"['Daniel F. Swisher', 'Jason Maloney', 'Robert Astor', 'Vickie S. Bruce', 'Mark J. Heckmann', 'Janell Kletter Filson']",6
78,1,constable,,,CASTLE SHANNON,['none'],0
79,1,mayor,,,CHALFANT,['James S. Perry'],1
80,1,tax collector,,,CHALFANT,['Carol A. Donahue'],1
81,4,member of council,4,,CHALFANT,"['Chad Hoover', 'Evelyn L. Fullwood', 'Alia M. Pustorino', 'Derrick Royster']",4
82,1,member of council,2,,CHALFANT,"['Chad Hoover', 'Evelyn L. Fullwood', 'Alia M. Pustorino', 'Derrick Royster']",4
83,1,constable,,,CHALFANT,['none'],0
84,1,mayor,,,CHESWICK,['Dan Carroll'],1
85,1,tax collector,,,CHESWICK,['Louise Parkhill'],1
86,4,member of council,,,CHESWICK,"['Frank Meledandri Jr.', 'Kathleen M. Gillard']",2
87,1,constable,,,CHESWICK,['Richard K. Franks'],1
88,1,mayor,,,CHURCHILL,['Paul G. Gamrat'],1
89,1,tax collector,,,CHURCHILL,['Danielle Weaver'],1
90,4,member of council,4,,CHURCHILL,"['Valerie Reinthaler', 'Diane Law', 'Brooke M. Burchette Williams', 'Debra Casini Klein', 'Matthew Castiglia']",5
91,1,member of council,2,,CHURCHILL,"['Valerie Reinthaler', 'Diane Law', 'Brooke M. Burchette Williams', 'Debra Casini Klein', 'Matthew Castiglia']",5
92,1,constable,,,CHURCHILL,['Daniel J. Paull'],1
93,1,mayor,,,CLAIRTON,"['James A. Cerqua', 'Denise Johnson Clemmons', 'Richard L. Lattanzi']",3
96,1,tax collector,,,COLLIER,['none'],0
97,3,commissioner,,,COLLIER,"['Sadie Lee Restivo', 'Frank Trosky', 'Mary Ann Cupples Wisniowski', 'Kimberlee Duran-Woomer', 'Wayne M. Chiurazzi', 'Timothy W. Young', 'Stephanie Bonincontro']",7
98,2,constable,,,COLLIER,['Daniel A. Styche'],1
99,1,mayor,,,CORAOPOLIS,"['Michael Dixon', 'Robb J. Cardimen']",2
100,1,tax collector,,,CORAOPOLIS,['David Falcione'],1
103,1,mayor,,,CRAFTON,"['Fred Amendola', 'Mike Zuhl', 'Coletta A. Perry']",3
104,1,tax collector,,,CRAFTON,['none'],0
105,4,member of council,4,,CRAFTON,"['Erin Bollenbacher', 'Phillip G. Levasseur', 'Fred Amendola', 'Brad  Crouse', 'Colton L. Chandler', 'John S. Oliverio', 'Vincent L. Ridilla', 'Sean A. Tremba', 'Regina B. Patton', 'James L. Santucci', 'Justin Marks', 'Brad  Crouse', 'Kirsten R. Compitello']",13
106,2,member of council,2,,CRAFTON,"['Erin Bollenbacher', 'Phillip G. Levasseur', 'Fred Amendola', 'Brad  Crouse', 'Colton L. Chandler', 'John S. Oliverio', 'Vincent L. Ridilla', 'Sean A. Tremba', 'Regina B. Patton', 'James L. Santucci', 'Justin Marks', 'Brad  Crouse', 'Kirsten R. Compitello']",13
