,number,position,term,ward,district,candidates,candidate_count,party
1,3,commissioner,4,,ALEPPO,"['Judith M. Haluka', 'Daniel M. Darragh', 'George Jones']",3,"['Democratic', 'Republican', 'Republican']"
5,1,tax collector,,,ASPINWALL,['Dawn E. Eastley'],1,['Democratic']
8,1,mayor,,,AVALON,"['Thomas R Lloyd, Jr.']",1,['Democratic']
14,1,mayor,,,BALDWIN BOROUGH,['David M. Depretis'],1,['Democratic']
15,1,tax collector,,,BALDWIN BOROUGH,['Gail Dobson Mikush'],1,['Democratic']
17,1,constable,,,BALDWIN BOROUGH,['James D. Hagan'],1,['Democratic']
19,2,commissioner,,,BALDWIN TOWNSHIP,"['Eileen Frisoli', 'Robert F. Downey Jr.']",2,"['Democratic', 'Democratic']"
21,1,mayor,,,BELL ACRES,['Kenneth L. Alvania'],1,['Democratic']
22,1,tax collector,,,BELL ACRES,['Gregory Cooper'],1,['Republican']
24,1,constable,,,BELL ACRES,['Robert A. Marek'],1,['Republican']
26,1,tax collector,,,BELLEVUE,['Joseph Nolan'],1,['Republican']
32,1,mayor,,,BEN AVON,['Melanie Hughes-Holcomb'],1,['Democratic']
34,4,member of council,,,BEN AVON,"['Tavia Washington', 'Jim Thornton', 'Jennifer A. Bett', 'Russell Kuehner']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
35,1,constable,,,BEN AVON,['Richard L. White'],1,['Democratic']
36,1,mayor,,,BEN AVON HEIGHTS,['Scott Dismukes'],1,['Republican']
40,1,mayor,,,BETHEL PARK,['Jack Allen'],1,['Republican']
43,1,mayor,,,BLAWNOX,['Anthony W. Gross'],1,['Democratic']
45,4,member of council,,,BLAWNOX,"['Randall R. Stoddard', 'Meghan Kennedy', 'Jessica A. Dayhoff', 'Deborah E. Laskey']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
47,1,mayor,,,BRACKENRIDGE,['Thomas L. Kish'],1,['Democratic']
48,1,tax collector,,,BRACKENRIDGE,['Melinda Cattley'],1,['Democratic']
51,1,mayor,,,BRADDOCK,['Delia  Lennon Winstead'],1,['Democratic']
55,1,mayor,,,BRADDOCK HILLS,"['John E. Brown, Jr.']",1,['Democratic']
56,1,tax collector,,,BRADDOCK HILLS,['Betty Ann Horvath'],1,['Democratic']
63,1,tax collector,,,BRENTWOOD,['Fay K. Boland'],1,['Democratic']
65,1,constable,,,BRENTWOOD,['Donald Makowski'],1,['Democratic']
66,1,mayor,,,BRIDGEVILLE,['Betty L. Copeland'],1,['Democratic']
67,1,tax collector,,,BRIDGEVILLE,['Anne Marie Parisi'],1,['Democratic']
69,1,constable,,,BRIDGEVILLE,['Walter L. Johns'],1,['Democratic']
70,1,mayor,,,CARNEGIE,['Stacie L. Riley'],1,['Republican']
75,1,mayor,,,CASTLE SHANNON,['Donald J. Baumgarten'],1,['Democratic']
76,1,tax collector,,,CASTLE SHANNON,"[""Eileen L. O'malley""]",1,['Democratic']
79,1,mayor,,,CHALFANT,['James S. Perry'],1,['Democratic']
80,1,tax collector,,,CHALFANT,['Carol A. Donahue'],1,['Republican']
81,4,member of council,4,,CHALFANT,"['Chad Hoover', 'Evelyn L. Fullwood', 'Alia M. Pustorino', 'Derrick Royster']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
84,1,mayor,,,CHESWICK,['Dan Carroll'],1,['Republican']
85,1,tax collector,,,CHESWICK,['Louise Parkhill'],1,['Democratic']
87,1,constable,,,CHESWICK,['Richard K. Franks'],1,['Republican']
88,1,mayor,,,CHURCHILL,['Paul G. Gamrat'],1,['Democratic']
89,1,tax collector,,,CHURCHILL,['Danielle Weaver'],1,['Democratic']
92,1,constable,,,CHURCHILL,['Daniel J. Paull'],1,['Democratic']
100,1,tax collector,,,CORAOPOLIS,['David Falcione'],1,['Democratic']
107,1,constable,,,CRAFTON,['James J. Bragano'],1,['Democratic']
108,1,tax collector,,,CRESCENT,['Morgan Withee'],1,['Republican']
112,1,mayor,,,DORMONT,['Jason Walsh'],1,['Democratic']
116,1,mayor,,,DRAVOSBURG,['Kevin R. McKelvey'],1,['Democratic']
117,1,tax collector,,,DRAVOSBURG,['Charles Gross'],1,['Democratic']
118,3,member of council,,,DRAVOSBURG,"['William Snodgrass Jr.', 'Jay E. McKelvey', 'John R. Palcsey']",3,"['Democratic', 'Democratic', 'Democratic']"
119,1,constable,,,DRAVOSBURG,['Paul Eagle'],1,['Democratic']
124,1,tax collector,,,EAST DEER,['Bernadette Paulovich'],1,['Democratic']
125,1,auditor,,,EAST DEER,['Jennifer Savka'],1,['Democratic']
128,1,mayor,,,EAST MCKEESPORT,['Robert P. Howard'],1,['Democratic']
129,1,tax collector,,,EAST MCKEESPORT,['Robert Ferrainolo'],1,['Democratic']
130,4,member of council,,,EAST MCKEESPORT,"['John Ekiert', 'Peter A. McGinty', 'Lynn Rosenbayger Brown', 'Linda Nolan']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
133,1,tax collector,,,EAST PITTSBURGH,['Patrick J. Geric'],1,['Democratic']
136,1,mayor,,,EDGEWOOD,"[""Ryan O'Donnell""]",1,['Democratic']
141,1,mayor,,,EDGEWORTH,['Gary L. Smith'],1,['Republican']
142,1,tax collector,,,EDGEWORTH,['Chris Blazak'],1,['Republican']
143,4,member of council,,,EDGEWORTH,"['Katherine Larsen', 'Joseph T. Hoepp', 'Daniel S. Wilson', 'Ivan T. Hofmann']",4,"['Republican', 'Republican', 'Republican', 'Republican']"
145,1,mayor,,,ELIZABETH BOROUGH,['Barry G. Boucher'],1,['Democratic']
146,1,tax collector,,,ELIZABETH BOROUGH,['Robin Schmidt'],1,['Democratic']
149,1,tax collector,,,ELIZABETH TOWNSHIP,['Mary E. Walos'],1,['Republican']
155,1,constable,,,EMSWORTH,['Sam Kochefski'],1,['Republican']
156,1,mayor,,,ETNA,['Thomas J. Rengers'],1,['Democratic']
157,1,tax collector,,,ETNA,['Karen Tomaszewski'],1,['Democratic']
161,1,tax collector,,,FAWN,['Margaret Hunkele'],1,['Republican']
166,1,auditor,,,FINDLAY,['Kimberly Sue Henry'],1,['Republican']
167,1,supervisor,,,FINDLAY,['Thomas J. Gallant'],1,['Republican']
168,1,constable,,,FINDLAY,"['William Edward Peterson, Jr.']",1,['Republican']
169,1,mayor,,,FOREST HILLS,['Frank Porko'],1,['Democratic']
172,1,constable,,,FOREST HILLS,['Nataia Malloy'],1,['Democratic']
173,1,tax collector,,,FORWARD,['William Firczak'],1,['Democratic']
179,1,mayor,,,FOX CHAPEL,"['Walter A. Scott, III']",1,['Republican']
182,1,constable,,,FOX CHAPEL,['Nelson L. Person'],1,['Republican']
184,1,tax collector,,,FRANKLIN PARK,['Kristin L. Losco'],1,['Republican']
187,1,tax collector,,,FRAZER,['Debra L. Bajack'],1,['Democratic']
188,1,auditor,,,FRAZER,['David E. Elkin'],1,['Democratic']
189,1,supervisor,,,FRAZER,['Willliam J. Creevey'],1,['Democratic']
192,1,tax collector,,,GLASSPORT,['Jennifer Bell'],1,['Democratic']
195,1,mayor,,,GLEN OSBORNE,['Barbara M. Carrier'],1,['Democratic']
206,1,mayor,,,GREEN TREE,['Edward A. Scheneck'],1,['Democratic']
212,1,tax collector,,,HARMAR,['James R. DiPalma'],1,['Republican']
217,1,constable,,,HARMAR,['Eric McCall'],1,['Democratic']
218,1,tax collector,,,HARRISON,['Michael D. McKechnie'],1,['Democratic']
226,1,mayor,,,HEIDELBERG,['Kenneth A. Lasota'],1,['Democratic']
231,1,tax collector,,,HOMESTEAD,['Alice Paylor-Dais'],1,['Democratic']
236,1,tax collector,,,INDIANA,['Julie Leventry'],1,['Democratic']
241,1,constable,,,INDIANA,['David C. Allison'],1,['Democratic']
242,1,mayor,,,INGRAM,['Sharon Stetz'],1,['Democratic']
244,4,member of council,,,INGRAM,"['Greg Butler', 'Karen L. Dixon', 'Susan Radzanowski', 'Richard Nucci']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
249,1,constable,,,JEFFERSON HILLS,['Dale Withers'],1,['Democratic']
250,1,tax collector,,,KENNEDY,['Melvin Weinstein'],1,['Democratic']
256,1,supervisor,,,KILBUCK,['Thomas R. Tomaro'],1,['Republican']
258,1,tax collector,,,LEET,['Nicole Sigmund'],1,['Democratic']
265,1,mayor,,,LIBERTY,['S. Larry Sikorski'],1,['Democratic']
266,1,tax collector,,,LIBERTY,['Shelly Aquilante'],1,['Democratic']
267,4,member of council,,,LIBERTY,"['Luke Riley', 'Timothy W. Sloss', 'Michael Matlos', 'Elizabeth Lape']",4,"['Democratic', 'Democratic', 'Democratic', 'Republican']"
269,1,mayor,,,LINCOLN,['James Joseph Beisler'],1,['Republican']
270,1,tax collector,,,LINCOLN,['Sharon Lynn Jageman'],1,['Democratic']
272,1,constable,,,LINCOLN,['Jozef A. Turcan'],1,['Republican']
273,1,tax collector,,,MARSHALL,['Charles Carey'],1,['Republican']
274,1,auditor,,,MARSHALL,['Earl V. Bragunier'],1,['Republican']
